Source,Year,Issue,Name,Con,Dept,Author,Lang,Type,ciphertext,plaintext
Russ Atkinson,1974,4,JA74,A01,A,SWABBY,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A02,A,BaRGe,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A03,A,MESCEYEV,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A04,A,SKIDS,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A05,A,CHI VALOR,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A06,A,ARCANUM,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A07,A,STEVE,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A08,A,FLORDELIS,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A09,A,DUN SCOTUS,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A10,A,LE CRAPAUD,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A11,A,YO TAMBIEN,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A12,A,JE SAURAIS,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A13,A,TEE PEE,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A14,A,POP SICKLE,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A15,A,RIG R. MORTIS,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A16,A,BRASSPOUNDER,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A17,A,JEETC,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A18,A,D. STRASSE,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A19,A,MEROMA,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A20,A,LOGONE BASETEN,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A21,A,ALCHEMYST,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A22,A,CODEX,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A23,A,PETROUSHKA,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A24,A,B. NATURAL,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,A25,A,D D TRANSITION,Eng,Aristocrat,,
Russ Atkinson,1974,4,JA74,AC093,S,LEGERDEMAINIST,Eng,Porta Autokey,,
Russ Atkinson,1974,4,JA74,AC094,S,ISLANDER,Eng,Playfair,,
Russ Atkinson,1974,4,JA74,AC095,S,JE SAURAIS,Eng,Quagmire IV,,
Russ Atkinson,1974,4,JA74,C01,C,JE SAURAIS,Eng,Cryptarithm,,
Russ Atkinson,1974,4,JA74,C02,C,CROTALUS,Eng,Cryptarithm,,
Russ Atkinson,1974,4,JA74,C03,C,YO TAMBIEN,Eng,Cryptarithm,,
Russ Atkinson,1974,4,JA74,C04,C,NEON,Eng,Cryptarithm,,
Russ Atkinson,1974,4,JA74,C05,C,ABACUS,Eng,Cryptarithm,,
Russ Atkinson,1974,4,JA74,C06,C,AQUARIUS,Eng,Cryptarithm,,
Russ Atkinson,1974,4,JA74,C07,C,D. STRASSE,Eng,Cryptarithm,,
Russ Atkinson,1974,4,JA74,C08,C,W.,Eng,Cryptarithm,,
Russ Atkinson,1974,4,JA74,C09,C,DENDAI [DICK],Eng,Cryptarithm,,
Russ Atkinson,1974,4,JA74,C10,C,ZER-O,Eng,Cryptarithm,,
Russ Atkinson,1974,4,JA74,E01,E,VAYISS MIR,Eng,Railfence,,
Russ Atkinson,1974,4,JA74,E02,E,MARSHEN,Eng,Morbit,,
Russ Atkinson,1974,4,JA74,E03,E,POP SICKLE,Eng,Route Tramp,,
Russ Atkinson,1974,4,JA74,E04,E,OCTOPUS,Eng,CC Tramp,,
Russ Atkinson,1974,4,JA74,E05,E,RIG R. MORTIS,Eng,Key Phrase,,
Russ Atkinson,1974,4,JA74,E06,E,HAYDN,Eng,Porta,,
Russ Atkinson,1974,4,JA74,E07,E,CHUCK,Eng,Gronsfeld,,
Russ Atkinson,1974,4,JA74,E08,E,ARCANUM,Eng,Nihilist Subst,,
Russ Atkinson,1974,4,JA74,E09,E,AHAB,Eng,Grille,,
Russ Atkinson,1974,4,JA74,E10,E,D. STRASSE,Eng,Amsco,,
Russ Atkinson,1974,4,JA74,E11,E,NEON,Eng,Bifid,,
Russ Atkinson,1974,4,JA74,E12,E,BERT,Eng,Phillips,,
Russ Atkinson,1974,4,JA74,E13,E,MAJOR HOOPLE,Eng,Frac Morse,,
Russ Atkinson,1974,4,JA74,E14,E,CODEX,Eng,Ragbaby,,
Russ Atkinson,1974,4,JA74,E15,E,HILARY,Eng,Playfair,,
Russ Atkinson,1974,4,JA74,E16,E,B. NATURAL,Eng,Var Nicodemus,,
Russ Atkinson,1974,4,JA74,E17,E,SUNNY,Eng,Quagmire II,,
Russ Atkinson,1974,4,JA74,E18,E,TEE PEE,Eng,Myszkowski,,
Russ Atkinson,1974,4,JA74,E19,E,JE SAURAIS,Eng,Gromark,,
Russ Atkinson,1974,4,JA74,E20,E,GHOST,Eng,Two-square,,
Russ Atkinson,1974,4,JA74,E21,E,KSEA,Eng,Twin Bifids,,
