RANK, LAST NAME, FIRST NAME, GENDER
37, LEE, KAREN, female
73, LEE, RYAN, male
86, BAKER, RYAN, male
108, LEE, SARA, female
118, LEE, SEAN, male
121, BAKER, SARA, female
126, LEE, BRYAN, male
128, BAKER, ALAN, male
131, BAKER, SEAN, male
135, BAKER, EARL, male
138, PARKER, ALAN, male
141, PARKER, SEAN, male
154, REYES, KAREN, female
156, LEE, RAY, male
160, BAKER, LEE, male
163, BARNES, SARA, female
164, LEE, BARRY, male
169, BAKER, RAY, male
170, PARKER, LEE, male
175, PERRY, ALAN, male
177, BARNES, EARL, male
178, PERRY, SEAN, male
186, RAY, KAREN, female
202, BARNES, LEE, male
205, BARNES, KYLE, male
205, LEE, ANA, female
207, PERRY, LEE, male
211, BARNES, RAY, male
218, BAKER, ANA, female
225, REYES, SARA, female
228, PARKER, ANA, female
232, REYES, ALAN, male
235, REYES, SEAN, male
236, LEE, BEN, male
239, REYES, EARL, male
244, BANKS, LARRY, male
250, PAYNE, SARA, female
257, RAY, SARA, female
259, BERRY, ALAN, male
259, PARKER, BEN, male
261, BAKER, PEARL, female
262, BAKER, ARLENE, female
262, BERRY, SEAN, male
264, PAYNE, EARL, male
264, RAY, ALAN, male
265, PERRY, ANA, female
266, LANE, SARA, female
267, RAY, SEAN, male
271, RAY, EARL, male
287, RYAN, SARA, female
289, LEE, KEN, male
289, PAYNE, LEE, male
291, BERRY, LEE, male
296, BAKER, LENA, female
296, LEE, KAY, female
296, PERRY, BEN, male
296, RAY, LEE, male
299, BANKS, SARA, female
301, RYAN, EARL, male
303, BARNES, PEARL, female
306, PARKER, LENA, female
307, BARNES, KARL, male
311, LEE, PERRY, male
313, BANKS, EARL, male
314, LANE, RAY, male
322, LANE, BARRY, male
322, REYES, ANA, female
326, RYAN, LEE, male
327, PENA, LARRY, male
332, BAKER, RENE, male
338, BANKS, LEE, male
343, PERRY, LENA, female
347, BANKS, RAY, male
349, BERRY, ANA, female
349, PERRY, KEN, male
351, BARNES, KAY, female
353, REYES, BEN, male
354, RAY, ANA, female
355, NEAL, SARA, female
355, PARKS, RYAN, male
355, RAY, RENEE, female
365, REYES, PEARL, female
369, REYES, KARL, male
370, LEE, KERRY, male
374, BAKER, NEAL, male
378, BAKER, LEE, female
382, PENA, SARA, female
384, PARKER, NEAL, male
385, RAY, BEN, male
388, PARKER, LEE, female
390, PARKS, SARA, female
394, PAYNE, KARL, male
396, PENA, EARL, male
397, PARKS, ALAN, male
397, RAY, PEARL, female
398, RAY, ARLENE, female
400, PARKS, SEAN, male
400, REYES, LENA, female
401, RAY, KARL, male
403, NEAL, RAY, male
404, PARKS, EARL, male
405, LEE, KARA, female
406, REYES, KEN, male
407, BARKER, ALAN, male
408, PARKS, BRYAN, male
410, BARKER, SEAN, male
411, NEAL, BARRY, male
417, BARNES, KAYLA, female
420, BARNES, LEE, female
421, PENA, LEE, male
421, PERRY, NEAL, male
421, REESE, RYAN, male
424, PENA, KYLE, male
425, PERRY, LEE, female
426, PERRY, BLAKE, male
427, BERRY, LENA, female
427, RYAN, PEARL, female
429, PARKS, LEE, male
430, PENA, RAY, male
431, RYAN, KARL, male
432, RAY, LENA, female
433, BERRY, KEN, male
438, PARKS, RAY, male
438, PENA, BARRY, male
438, RAY, KEN, male
439, BANKS, PEARL, female
439, BARKER, LEE, male
449, BAKER, ELENA, female
449, BARNES, KARLA, female
452, BLAKE, RYAN, male
454, LANE, KAY, female
456, REESE, SARA, female
459, PARKER, ELENA, female
460, BARNES, KARA, female
463, REESE, ALAN, male
468, RAY, RENE, male
469, BASS, KAREN, female
469, LANE, PERRY, male
472, BAKER, AL, male
474, REESE, BRYAN, male
476, LEE, KERRY, female
478, REYES, NEAL, male
482, PARKER, AL, male
483, REYES, BLAKE, male
485, BAKER, ALYSSA, female
485, BASS, LARRY, male
487, BLAKE, SARA, female
487, PARKS, ANA, female
488, PARKS, RENEE, female
495, PARKER, ALYSSA, female
496, PERRY, ELENA, female
497, BARKER, ANA, female
497, BLAKE, SEAN, male
502, BANKS, PERRY, male
504, REESE, RAY, male
505, BASS, RYAN, male
