108, LEE, SARA, female
118, LEE, SEAN, male
205, LEE, ANA, female
225, LANE, PETER, male
227, LEE, TARA, female
236, LANE, TERESA, female
288, PETERS, ALAN, male
314, NEAL, PETER, male
325, NEAL, TERESA, female
341, PENA, PETER, male
352, PENA, TERESA, female
378, PETERS, ANA, female
396, PENA, EARL, male
411, LEE, PAT, female
421, PENA, LEE, male
442, TATE, SEAN, male
446, TATE, EARL, male
456, PETERS, LENA, female
463, REESE, ALAN, male
471, TATE, LEE, male
481, LEE, PAT, male
492, PENA, LESTER, male
493, STEELE, ANA, female
515, STEELE, TARA, female
522, PENA, PEARL, female
528, LEE, RENA, female
531, PRATT, SEAN, male
534, LEE, TRENT, male
534, PETERS, NEAL, male
547, LANE, PETE, male
553, REESE, ANA, female
560, LEE, ETTA, female
560, PRATT, LEE, male
569, LANE, PAT, female
572, TATE, PEARL, female
573, TATE, ARLENE, female
574, LEE, STAN, male
584, PETERS, PAT, female
599, TRAN, LEE, male
607, TATE, LENA, female
632, PETERS, AL, male
634, PATEL, PETER, male
636, NEAL, PETE, male
639, LANE, PAT, male
639, PENA, LEE, female
643, TATE, RENE, male
645, LEE, PETRA, female
645, PATEL, TERESA, female
654, PETERS, PAT, male
658, NEAL, PAT, female
663, PENA, PETE, male
667, PETERS, LANA, female
677, PATEL, ERNEST, male
685, PATEL, SEAN, male
685, PENA, PAT, female
685, TATE, NEAL, male
689, TATE, LEE, female
696, PRATT, LENA, female
699, STEELE, PAT, female
718, LANE, ETTA, female
728, NEAL, PAT, male
733, PENA, AL, male
734, LEE, ART, male
755, PENA, PAT, male
759, REESE, PAT, female
760, TATE, ELENA, female
769, STEELE, PAT, male
774, PRATT, NEAL, male
775, LEE, RAE, female
775, PENA, ELSA, female
778, PRATT, LEE, female
779, LESTER, ANA, female
783, TATE, AL, male
802, LANE, ESTER, female
803, LANE, PETRA, female
807, NEAL, ETTA, female
807, REESE, AL, male
816, PETERS, ALTA, female
817, TRAN, LEE, female
825, TATE, ELSA, female
829, REESE, PAT, male
834, PENA, ETTA, female
841, TRAN, PETE, male
842, REESE, LANA, female
849, PRATT, ELENA, female
852, TATE, RENA, female
862, PETERS, LEA, female
863, TRAN, PAT, female
872, PRATT, AL, male
886, PATEL, RENE, male
891, NEAL, ESTER, female
892, LANE, ART, male
892, NEAL, PETRA, female
911, TRAN, AL, male
914, PRATT, ELSA, female
918, PENA, ESTER, female
919, PENA, PETRA, female
926, PETERS, LANE, male
933, LANE, RAE, female
933, TRAN, PAT, male
935, LARSEN, PETE, male
953, LEE, ERNA, female
953, TRAN, ELSA, female
956, PATEL, PETE, male
957, LARSEN, PAT, female
961, PETERSEN, PAT, female
963, PENA, LEA, female
971, PATEL, EARNEST, male
973, PATE, PETER, male
978, PATEL, PAT, female
981, NEAL, ART, male
984, PATE, TERESA, female
985, LESTER, PAT, female
991, REESE, ALTA, female
1008, PENA, ART, male
1009, PETERSEN, AL, male
1013, TATE, LEA, female
1016, PATE, ERNEST, male
1018, LE, PETER, male
1022, NEAL, RAE, female
1022, STEELE, ART, male
1022, TATE, RENE, female
1024, PATE, SEAN, male
1027, LARSEN, PAT, male
1028, PATE, EARL, male
1029, LE, TERESA, female
1031, PETERSEN, PAT, male
1034, PENA, ESTELA, female
1043, LARA, PETE, male
1048, PATEL, PAT, male
1049, PENA, RAE, female
1053, PATE, LEE, male
1055, LESTER, PAT, male
1059, LE, SARA, female
1061, LE, ERNEST, male
1069, LE, SEAN, male
1077, TATE, LANE, male
1095, PATEL, RENA, female
1099, TATE, RAE, female
1102, PRATT, LEA, female
1106, LARSEN, ETTA, female
1110, TATE, SERENA, female
1124, PATE, LESTER, male
1141, PATEL, STAN, male
1141, TRAN, LEA, female
1151, PENA, EARLE, male
1154, PATE, PEARL, female
1155, PATE, ARLENE, female
1156, LE, ANA, female
1157, LEE, ASA, male
1163, TATE, SELENA, female
1165, LEE, TERA, female
1166, PRATT, LANE, male
1178, LE, TARA, female
1188, PETERS, LETA, female
1189, PATE, LENA, female
1193, PENA, LES, male
1193, PETERSEN, ALTA, female
1201, TATE, EARLE, male
1211, PATEL, ESTER, female
1212, PATEL, PETRA, female
1212, TRAN, ESTELA, female
1225, PATE, RENE, male
1229, LEE, RETA, female
1238, LEE, TANA, female
1243, TATE, LES, male
1248, LEE, SANTA, female
1250, PENA, SAL, male
1252, PRATT, SELENA, female
1265, PATEL, RENE, female
1267, PATE, NEAL, male
1270, LE, RENE, male
1271, PATE, LEE, female
1277, TATE, ERNA, female
1289, PENA, LETA, female
1289, SLATER, PETE, male
1292, PENA, LESA, female
1295, PATE, PETE, male
1300, TATE, SAL, male
1301, PATEL, ART, male
1301, PETERS, LEN, male
1310, PATE, EARNEST, male
1311, SLATER, PAT, female
1317, PATE, PAT, female
1323, LANE, TERA, female
1332, PRATT, LES, male
1340, LE, PETE, male
1342, PATE, ELENA, female
1342, PATEL, RAE, female
1342, TATE, LESA, female
1353, PATEL, SERENA, female
1355, LE, EARNEST, male
1362, LE, PAT, female
1365, PATE, AL, male
1371, TRAN, LES, male
1381, SLATER, PAT, male
1381, TATE, RENAE, female
1387, LANE, RETA, female
1387, PATE, PAT, male
1388, LEE, TENA, female
1389, PRATT, SAL, male
1404, TRENT, LEE, male
1407, LEE, RENATA, female
1407, PATE, ELSA, female
1411, PETERS, TANA, female
1412, NEAL, TERA, female
1423, TATE, ARLEEN, female
1428, TRAN, SAL, male
1431, PRATT, LESA, female
1432, LE, PAT, male
1434, PATE, RENA, female
1439, PENA, TERA, female
1452, TATE, LEN, male
